Hostname,IP_Address,Operating_System,CPU,Memory_GB,Storage_GB,Location,Environment,Status,Owner,Purchase_Date,Warranty_Expiry,Last_Patched_Date
Andromeda,192.168.10.153,Red Hat Enterprise Linux 8,Intel Core i7,128,2000,Toddshire,Production,Inactive,Leroy Jones,20-09-2023,15-10-2027,02-12-2023
Aquarius,192.168.51.123,CentOS 7,Intel Core i5,128,1000,New Christine,Development,Under_Maintenance,Jennifer Rios,17-07-2022,04-12-2026,04-07-2024
Arcturus,192.168.91.70,Windows Server 2019,Intel Xeon,64,500,North Mariatown,Development,Inactive,Sally Cervantes,17-09-2023,17-04-2025,17-06-2024
Bellatrix,172.25.187.240,CentOS 7,Intel Core i7,16,1000,Baileyville,Production,Inactive,Douglas Tucker,29-09-2022,20-11-2026,04-12-2023
Canopus,192.168.213.9,Windows Server 2019,Intel Xeon,32,1000,Johnmouth,Staging,Under_Maintenance,Matthew Young,08-08-2023,03-06-2026,30-07-2024
Capella,192.168.14.153,Ubuntu 20.04,Intel Core i5,16,500,Stewartport,Staging,Inactive,Tracy Lowe,19-11-2022,15-04-2025,04-06-2024
Cassiopeia,172.21.56.45,CentOS 7,Intel Xeon,32,1000,East Daniel,Testing,Active,Michelle Miles,22-02-2022,03-05-2026,21-11-2023
Deneb,172.26.102.18,CentOS 7,Intel Core i7,16,2000,Matthewville,Staging,Active,James Hernandez,13-09-2023,12-07-2025,21-12-2023
Fomalhaut,10.132.35.212,CentOS 7,Intel Core i7,128,1000,Lake Lindseymouth,Staging,Decommissioned,Ryan Ward,17-10-2023,13-06-2026,17-04-2024
Hydra,192.168.173.48,Red Hat Enterprise Linux 8,Intel Core i7,32,1000,South Yvonnefort,Staging,Decommissioned,Samuel Woods,07-06-2022,13-08-2025,29-05-2024
Leo,192.168.48.136,Amazon Linux 2,Intel Core i7,16,1000,Bakerview,Staging,Active,Michael Torres,15-03-2022,08-08-2025,18-08-2024
